#deck:Speak::Middle1::Suggestion
#notetype:TypeAnswerAndListen

从未。;Never.  
我从没想过出国留学。;I've never wanted to study abroad.  
我从没想过去欧洲。;I've never wanted to go to Europe.  
我从没想过尝试滑雪。;I've never wanted to try skiing.  
学习游泳。;Learn to swim.  
我从没学过游泳。;I've never learned to swim.  
我从没学过开车。;I've never learned to drive.  
我从没学过骑摩托车。;I've never learned to ride a motorcycle.  
[句型]我从没尝试___的经历。;Never have I ever...  
我从没骑过摩托车。;Never have I ever ridden a motorcycle.  
我从没跑过马拉松。;Never have I ever run a marathon.  
我从没学过游泳。;Never have I ever learned to swim.  
我从没去过旧金山。;Never have I ever been to San Francisco.  
我从没尝试过瑜伽。;Never have I ever tried yoga.  
读研究生。;Going to grad school.  
你想过读研究生吗？;Have you thought about going to grad school?  
实习。;Doing an internship.  
转专业。;Switching your major.  
你想过实习吗？;Have you thought about doing an internship?  
你想过转专业吗？;Have you thought about switching your major?  
休学一学期。;Taking a semester off.  
你想过休学一学期吗？;Have you thought about taking a semester off?  
你想过休学一年吗？;Have you thought about taking a year off?  
请几天假。;Take some time off.  
你想过请几天假吗？;Have you thought about taking some time off?  
辞职。;Quitting your job.  
找新工作。;Getting a new job.  
你想过辞职吗？;Have you thought about quitting your job?  
你想过找新工作吗？;Have you thought about getting a new job?  
学习新技能。;Learning a new trade.  
你想过学习新技能吗？;Have you thought about learning a new trade?  
尝试交友应用软件。;Trying a dating app.  
你想过尝试交友应用软件吗？;Have you thought about trying a dating app?  
约她出去。;Asking her out.  
你想过约她出去吗？;Have you thought about asking her out?  
告诉他你的感受。;Telling him how you feel.  
你想过告诉他你的感受吗？;Have you thought about telling him how you feel?  
你想过约他出去吗？;Have you thought about asking him out?  
你想过告诉她你的感受吗？;Have you thought about telling her how you feel?  
怎样游泳。;How to swim.  
做什么。;What to do.  
去哪里吃饭。;Where to eat.  
怎样学习。;How to learn.  
我很难决定要做什么。;I'm having trouble deciding what to do.  
我很难决定要去哪里工作。;I'm having trouble deciding where to work.  
我很难决定要怎么作决定。;I'm having trouble deciding how to decide.  
我很难决定要学什么。;I'm having trouble deciding what to learn.  
我很难决定要去哪里。;I'm having trouble deciding where to go.  
当模特。;Be a model.  
读研究生。;Go to grad school.  
我一直想当模特。;I've always wanted to be a model.  
你想过穿什么吗？;Have you thought about what to wear?  
你想过去哪里吃饭吗？;Have you thought about where to eat?  
我通过踢拳交到了朋友。;I've made friends through kickboxing.  
我通过瑜伽成功减肥了。;I've lost weight through yoga.  
你通过瑜伽成功减肥了吗？;Have you lost weight through yoga?  
你通过瑜伽交到朋友了吗？;Have you made friends through yoga?  
你通过普拉提交到朋友了吗？;Have you made friends through pilates?  
怎样学习英语。;How to study English.  
