#deck:IELTSWords
#notetype:Cloze
#separator:|
#columns:Answer|Example|OriginalExample|TranslationOfExample|Definition|ChineseDefinition|Word|PartOfSpeech|Synonyms|Antonyms

pardon|{{c1::pardon}}? I didn't quite catch what you said|Pardon? I didn't quite catch what you said|什么？我没有完全听清你说的话|Used as a polite way of asking someone to repeat what they have said|用作礼貌地请求某人重复所说内容的方式|pardon|interjection|excuse me, sorry, I beg your pardon|
regent|The queen mother served as {{c1::regent}} until the prince came of age|The queen mother served as regent until the prince came of age|王太后担任摄政王直到王子成年|A person appointed to govern a state temporarily when the monarch is a minor, absent, or incapacitated|在君主年幼、缺席或无行为能力时被任命临时治理国家的人|regent|noun|governor, ruler, viceroy, deputy, proxy|monarch, sovereign
regent|He was appointed as a {{c1::regent}} of the state university system|He was appointed as a regent of the state university system|他被任命为州立大学系统的董事|A member of the governing board of certain universities or institutions|某些大学或机构的理事会成员|regent|noun|trustee, director, board member, governor|
regent|She held {{c1::regent}} power for nearly a decade|She held regent power for nearly a decade|她掌握摄政权力近十年|Acting as or relating to a regent|作为摄政者或与摄政相关的|regent|adjective|governing, ruling, administrative|
burgeoned|The technology industry has {{c1::burgeoned}} in recent years|The technology industry has burgeoned in recent years|科技行业近年来蓬勃发展|To begin to grow or increase rapidly; flourish|开始迅速生长或增加；蓬勃发展|burgeon|verb|flourish, thrive, boom, expand, grow, develop, increase|decline, decrease, diminish, shrink, wither
burgeoned|The plants {{c1::burgeoned}} with the arrival of spring|The plants burgeoned with the arrival of spring|随着春天的到来，植物开始萌芽|To put forth buds or shoots; sprout|长出芽或嫩枝；萌芽|burgeon|verb|sprout, bud, germinate, bloom, blossom|wither, die, decay
argued|The siblings {{c1::argued}} over who would use the car|The siblings argued over who would use the car|兄弟姐妹为谁使用这辆车而争论|To exchange or express diverging or opposite views, typically in a heated or angry way|交换或表达不同或相反的观点，通常以激烈或愤怒的方式|argue|verb|quarrel, dispute, bicker, disagree, squabble, wrangle|agree, concur, harmonize, reconcile
argued|The lawyer {{c1::argued}} convincingly for her client's innocence|The lawyer argued convincingly for her client's innocence|律师为她的客户的清白进行了有说服力的辩护|To give reasons or cite evidence in support of an idea, action, or theory|为支持某个想法、行动或理论提供理由或引用证据|argue|verb|reason, contend, maintain, assert, claim, debate|concede, surrender, yield
argued|She {{c1::argued}} him into changing his mind|She argued him into changing his mind|她说服他改变了主意|To persuade someone by giving reasons|通过给出理由说服某人|argue|verb|persuade, convince, sway, influence|dissuade, deter
barely|She {{c1::barely}} made it to the meeting on time|She barely made it to the meeting on time|她勉强按时赶到会议|Only just; by a small margin; scarcely|仅仅；勉强；几乎不|barely|adverb|hardly, scarcely, just, only just, narrowly, minimally|completely, entirely, fully, easily, abundantly
barely|He was so tired that he could {{c1::barely}} keep his eyes open|He was so tired that he could barely keep his eyes open|他太累了，几乎无法保持眼睛睁开|In a minimal way; almost not|以最小的方式；几乎没有|barely|adverb|slightly, faintly, minimally, just about|clearly, obviously, definitely, strongly
methane|{{c1::methane}} is a potent greenhouse gas that contributes to climate change|Methane is a potent greenhouse gas that contributes to climate change|甲烷是一种强效温室气体，会导致气候变化|A colorless, odorless flammable gas which is the main constituent of natural gas, with the chemical formula CH₄|一种无色、无味的易燃气体，是天然气的主要成分，化学式为CH₄|methane|noun|natural gas, marsh gas, biogas|
methane|{{c1::methane}} is the first member of the alkane series of hydrocarbons|Methane is the first member of the alkane series of hydrocarbons|甲烷是烷烃系列碳氢化合物的第一个成员|The simplest alkane hydrocarbon, consisting of one carbon atom and four hydrogen atoms|最简单的烷烃，由一个碳原子和四个氢原子组成|methane|noun|CH₄|
hierarchy|The company has a rigid {{c1::hierarchy}} with the CEO at the top|The company has a rigid hierarchy with the CEO at the top|这家公司有一个严格的等级制度，首席执行官位于顶端|A system in which people or things are arranged according to their importance or rank|一种根据重要性或等级排列人或事物的系统|hierarchy|noun|ranking, pecking order, chain of command, grading, ladder, stratification|equality, democracy, egalitarianism
hierarchy|The Catholic {{c1::hierarchy}} includes priests, bishops, and cardinals|The Catholic hierarchy includes priests, bishops, and cardinals|天主教等级制度包括神父、主教和红衣主教|The clergy organized into successive ranks or grades with each level subordinate to the one above|组织成连续等级的神职人员，每一级都从属于上一级|hierarchy|noun|clergy, ecclesiastical organization, church structure|laity
guidance|The teacher offered {{c1::guidance}} on how to improve the essay|The teacher offered guidance on how to improve the essay|老师提供了如何改进论文的指导|Advice or information aimed at resolving a problem or difficulty, especially as given by someone in authority|旨在解决问题或困难的建议或信息，尤其是由权威人士提供的|guidance|noun|advice, direction, instruction, counsel, help, recommendations|misguidance, misdirection, hindrance
guidance|The missile uses laser {{c1::guidance}} to reach its target|The missile uses laser guidance to reach its target|这枚导弹使用激光制导来到达目标|The process of directing or steering the movement of something, especially a missile or vehicle|引导或操控某物移动的过程，尤其是导弹或车辆|guidance|noun|navigation, direction, steering, control|
easy-going|She has an {{c1::easy-going}} personality and gets along with everyone|She has an easy-going personality and gets along with everyone|她性格随和，与每个人都相处得很好|Relaxed and tolerant in attitude or manner; not easily annoyed or worried|态度或方式放松和宽容的；不易恼怒或担忧的|easy-going|adjective|relaxed, laid-back, mellow, casual, carefree, undemanding, tolerant|uptight, tense, demanding, strict, rigid, high-strung, fussy
easy-going|We had an {{c1::easy-going}} day at the beach, with no schedule to follow|We had an easy-going day at the beach, with no schedule to follow|我们在海滩度过了悠闲的一天，没有要遵循的时间表|Moving or proceeding at a leisurely pace; unhurried|以悠闲的步调移动或进行；不匆忙的|easy-going|adjective|leisurely, unhurried, slow-paced, gentle, comfortable|rushed, hectic, frantic, hurried, fast-paced
electrical|The house needs new {{c1::electrical}} wiring|The house needs new electrical wiring|这房子需要新的电线布线|Relating to or concerned with electricity|与电有关或涉及电的|electrical|adjective|electric, power, electronic|non-electrical, manual, mechanical
electrical|The store sells various {{c1::electrical}} appliances|The store sells various electrical appliances|这家商店销售各种电器|Powered by or producing electricity|由电力驱动或产生电的|electrical|adjective|powered, charged, electrified|unpowered, manual, non-electric
electronic|The company manufactures {{c1::electronic}} devices like smartphones and tablets|The company manufactures electronic devices like smartphones and tablets|该公司生产智能手机和平板电脑等电子设备|Having or operating with components such as microchips and transistors that control and direct electric currents|具有或操作微芯片和晶体管等控制和引导电流的组件|electronic|adjective|digital, computerized, automated, solid-state|analog, mechanical, manual
electronic|Most people now use {{c1::electronic}} banking services|Most people now use electronic banking services|现在大多数人使用电子银行服务|Relating to or carried out using a computer or other electronic device|与使用计算机或其他电子设备相关或通过其进行的|electronic|adjective|online, virtual, e-, cyber, web-based|paper-based, physical, traditional
rolled|The ball {{c1::rolled}} down the hill|The ball rolled down the hill|球滚下了山坡|To move by turning over and over on an axis|通过在轴上一次又一次地翻转而移动|roll|verb|revolve, rotate, wheel, trundle, tumble|remain stationary, stay still
rolls|The restaurant serves fresh {{c1::rolls}} with butter|The restaurant serves fresh rolls with butter|这家餐厅提供新鲜的面包卷和黄油|A small, round piece of bread, typically served with a meal|一小块圆形面包，通常与正餐一起食用|roll|noun|bun, bread roll, bap, breadcake|
roll|The teacher called the {{c1::roll}} at the beginning of class|The teacher called the roll at the beginning of class|老师在课堂开始时点名|A list of names, especially for checking attendance|姓名清单，尤其是用于点名|roll|noun|register, list, roster, catalog, inventory|
rolled|She {{c1::rolled}} the dough into a thin sheet|She rolled the dough into a thin sheet|她把面团擀成薄片|To flatten or spread something by using a roller or by pressing|通过使用滚筒或压力使某物变平或展开|roll|verb|flatten, press, spread out, extend|crumple, fold, wrinkle
philosophy|She studied {{c1::philosophy}} at university|She studied philosophy at university|她在大学学习哲学|The study of the fundamental nature of knowledge, reality, and existence|对知识、现实和存在的基本性质的研究|philosophy|noun|metaphysics, ethics, logic, epistemology, ontology|
philosophy|His {{c1::philosophy}} of life is to enjoy each day as it comes|His philosophy of life is to enjoy each day as it comes|他的人生哲学是享受每一天|A particular system of philosophical thought or a theory or attitude that guides one's behavior|特定的哲学思想体系或指导行为的理论或态度|philosophy|noun|beliefs, principles, ideology, doctrine, theory, worldview|
chronic|She suffers from {{c1::chronic}} back pain|She suffers from chronic back pain|她患有慢性背痛|Persisting for a long time or constantly recurring; long-lasting and difficult to eradicate|持续很长时间或经常复发的；长期存在且难以根除的|chronic|adjective|persistent, long-standing, long-term, ongoing, continual, constant|acute, temporary, short-term, brief, transient
chronic|Diabetes is a {{c1::chronic}} disease that requires lifelong management|Diabetes is a chronic disease that requires lifelong management|糖尿病是一种需要终身管理的慢性疾病|Of a disease or medical condition that is persistent or long-lasting in its effects|疾病或医疗状况在其影响方面持续或长期存在的|chronic|adjective|long-lasting, incurable, lifelong, permanent|acute, curable, short-lived
chronic|He's a {{c1::chronic}} complainer who is never satisfied|He's a chronic complainer who is never satisfied|他是个习惯性抱怨者，从不满足|Habitual; inveterate|习惯性的；根深蒂固的|chronic|adjective|habitual, inveterate, confirmed, hardened, deep-rooted|occasional, sporadic, intermittent
desirable|A good education is highly {{c1::desirable}} for career advancement|A good education is highly desirable for career advancement|良好的教育对职业发展非常有利|Worth having or wanting; pleasing, attractive, or useful|值得拥有或想要的；令人愉快的、有吸引力的或有用的|desirable|adjective|appealing, attractive, coveted, sought-after, advantageous, beneficial|undesirable, unwanted, unappealing, unpleasant, disadvantageous
most desirable|The actor was considered one of the {{c1::most desirable}} men in Hollywood|The actor was considered one of the most desirable men in Hollywood|这位演员被认为是好莱坞最有魅力的男性之一|Sexually attractive|性感有吸引力的|desirable|adjective|attractive, appealing, alluring, sexy, seductive|unattractive, repulsive, unappetizing
desirables|The property market offers many {{c1::desirables}} for potential buyers|The property market offers many desirables for potential buyers|房地产市场为潜在买家提供许多理想选择|Something that is desirable|令人向往的事物|desirable|noun|asset, attraction, benefit, advantage|liability, drawback, disadvantage
consortium|A {{c1::consortium}} of universities is collaborating on the research project|A consortium of universities is collaborating on the research project|一个大学联盟正在合作进行这个研究项目|An association of two or more individuals, companies, organizations or governments with the objective of participating in a common activity or pooling their resources for achieving a common goal|两个或多个个人、公司、组织或政府的联合，目的是参与共同活动或汇集资源以实现共同目标|consortium|noun|alliance, coalition, partnership, syndicate, association, group, conglomerate|individual, solo entity
consortium|The merchant ships traveled in a {{c1::consortium}} for safety against pirates|The merchant ships traveled in a consortium for safety against pirates|这些商船组成一个船队一起航行，以防海盗袭击|A group of ships sailing together with mutual protection and for convenience|一群为了相互保护和便利而一起航行的船只|consortium|noun|convoy, fleet, flotilla, armada|
buckle|He adjusted the {{c1::buckle}} on his belt|He adjusted the buckle on his belt|他调整了皮带上的扣子|A flat, typically rectangular frame with a hinged pin, used for joining the ends of a belt or strap|一种扁平的、通常为矩形的框架，带有铰链销，用于连接皮带或带子的两端|buckle|noun|clasp, fastener, clip, catch|
buckle|Remember to {{c1::buckle}} your seatbelt before driving|Remember to buckle your seatbelt before driving|开车前记得系好安全带|To fasten or secure with a buckle|用扣子系紧或固定|buckle|verb|fasten, secure, clip, attach, connect|unbuckle, unfasten, undo, release
buckled|The shelf {{c1::buckled}} under the weight of the books|The shelf buckled under the weight of the books|架子在书的重量下弯曲了|To bend, warp, or collapse under pressure or strain|在压力或张力下弯曲、变形或塌陷|buckle|verb|bend, warp, collapse, distort, give way, cave in|strengthen, reinforce, straighten
curry|We ordered chicken {{c1::curry}} and naan bread at the restaurant|We ordered chicken curry and naan bread at the restaurant|我们在餐厅点了咖喱鸡和印度烤饼|A dish of meat, vegetables, etc., cooked in an Indian-style sauce of strong spices|用印度风格的浓烈香料酱汁烹制的肉类、蔬菜等菜肴|curry|noun|spiced dish, spicy stew|
curry|She added a tablespoon of {{c1::curry}} powder to the sauce|She added a tablespoon of curry powder to the sauce|她在酱汁中加了一汤匙咖喱粉|A powder or paste made from a mixture of aromatic spices used in cooking|由香料混合物制成的用于烹饪的粉末或糊状物|curry|noun|spice mix, spice blend, masala|
curried|She {{c1::curried}} the vegetables with a homemade spice blend|She curried the vegetables with a homemade spice blend|她用自制的香料混合物给蔬菜做咖喱|To cook or flavor with curry powder or sauce|用咖喱粉或咖喱酱烹调或调味|curry|verb|season, spice, flavor|
curried|The stable hand {{c1::curried}} the horses every morning|The stable hand curried the horses every morning|马厩工每天早上给马梳理|To groom (a horse) by brushing and cleaning its coat|通过刷洗和清洁马的被毛来梳理（马）|curry|verb|groom, brush, clean, comb|
subliminal|The advertisement contained {{c1::subliminal}} messages designed to influence buyers|The advertisement contained subliminal messages designed to influence buyers|这则广告包含旨在影响购买者的潜意识信息|Below the threshold of conscious perception; affecting someone's mind without their being aware of it|低于意识感知阈值的；在人不知不觉中影响其思想的|subliminal|adjective|subconscious, unconscious, below the threshold, imperceptible, subtle|conscious, overt, explicit, obvious, apparent
subliminal|The experiment tested whether {{c1::subliminal}} visual cues could affect decision-making|The experiment tested whether subliminal visual cues could affect decision-making|该实验测试了潜意识视觉提示是否会影响决策|Relating to stimuli that are too weak or brief to be consciously perceived but that nevertheless influence mental processes or behavior|与太弱或太短暂而无法被有意识地感知但仍然影响心理过程或行为的刺激有关|subliminal|adjective|below threshold, undetectable, hidden, covert|supraliminal, perceptible, noticeable
chambers|The judge called the lawyers into his {{c1::chambers}}|The judge called the lawyers into his chambers|法官叫律师们进入他的办公室|A room, especially a private or enclosed one|房间，尤指私人或封闭的房间|chamber|noun|room, compartment, office, quarters, suite|
chamber|The Senate {{c1::chamber}} was packed for the important vote|The Senate chamber was packed for the important vote|参议院会议厅为这次重要投票挤满了人|A large room used for formal meetings or legislative assemblies|用于正式会议或立法集会的大房间|chamber|noun|hall, assembly room, council room, auditorium|
chambers|The heart has four {{c1::chambers}} that pump blood|The heart has four chambers that pump blood|心脏有四个腔室泵血|An enclosed space or cavity, especially one within the body or in a machine|封闭的空间或腔体，尤指身体内部或机器中的空间|chamber|noun|cavity, compartment, hollow, space, receptacle|
chambered|He {{c1::chambered}} a round in the pistol|He chambered a round in the pistol|他在手枪中上了一发子弹|To place or enclose in a chamber, especially to load a round of ammunition into the chamber of a firearm|放入或封闭在腔室中，尤指将一发弹药装入枪支的弹膛|chamber|verb|load, insert, place, enclose|unload, extract, eject
frequent|There are {{c1::frequent}} buses to the city center|There are frequent buses to the city center|有频繁的公交车前往市中心|Occurring or happening often or at short intervals|经常发生或以短间隔发生的|frequent|adjective|regular, common, recurrent, repeated, habitual, continual|infrequent, rare, occasional, uncommon, sporadic
frequents|He {{c1::frequents}} that coffee shop every morning|He frequents that coffee shop every morning|他每天早上都去那家咖啡店|To visit or be present at (a place) often or habitually|经常或习惯性地访问或出现在（某地）|frequent|verb|visit, patronize, haunt, attend, resort to|avoid, shun, boycott
prosperous|He became {{c1::prosperous}} through his investments in technology|He became prosperous through his investments in technology|他通过对技术的投资变得富裕|Successful in material terms; flourishing financially|在物质方面成功的；经济上繁荣的|prosperous|adjective|wealthy, rich, affluent, well-off, well-to-do, thriving|poor, impoverished, struggling, destitute, needy
prosperous|The company had a {{c1::prosperous}} year with record profits|The company had a prosperous year with record profits|公司度过了创纪录盈利的繁荣一年|Bringing or indicating success or good fortune|带来或表明成功或好运的|prosperous|adjective|successful, flourishing, booming, thriving, profitable, fruitful|unsuccessful, failing, declining, unprofitable
purpose|The {{c1::purpose}} of the meeting is to discuss the new project|The purpose of the meeting is to discuss the new project|会议的目的是讨论新项目|The reason for which something is done or created or for which something exists|做某事或创造某物的原因，或某物存在的原因|purpose|noun|aim, intention, objective, goal, target, end, function, motive|aimlessness, pointlessness, meaninglessness
purpose|She approached her work with a renewed sense of {{c1::purpose}}|She approached her work with a renewed sense of purpose|她以renewed的目标感对待工作|A person's sense of resolve or determination|一个人的决心或毅力感|purpose|noun|determination, resolution, resolve, commitment, conviction, drive|indecision, hesitation, uncertainty, wavering
purposed|She {{c1::purposed}} to finish the project by the end of the month|She purposed to finish the project by the end of the month|她打算在月底前完成这个项目|To intend or plan to do something|打算或计划做某事|purpose|verb|intend, plan, aim, mean, propose, resolve|abandon, relinquish, forgo
variety|The restaurant offers a wide {{c1::variety}} of dishes|The restaurant offers a wide variety of dishes|这家餐厅提供各种各样的菜肴|The quality or state of being different or diverse; having different forms or types|不同或多样的品质或状态；具有不同形式或类型|variety|noun|diversity, range, assortment, mixture, selection, heterogeneity|uniformity, sameness, monotony, homogeneity
variety|This {{c1::variety}} of apple is particularly sweet|This variety of apple is particularly sweet|这种苹果特别甜|A specific type of something that differs from others of the same general category|与同一总类别中其他事物不同的特定类型|variety|noun|type, kind, sort, class, category, species, strain|
variety|The theater specializes in {{c1::variety}} shows featuring local talent|The theater specializes in variety shows featuring local talent|这家剧院专门制作展示当地人才的综艺节目|A form of entertainment consisting of a series of different types of acts, such as music, dance, and comedy|由一系列不同类型的表演组成的娱乐形式，如音乐、舞蹈和喜剧|variety|noun|vaudeville, revue, cabaret, entertainment, show business|
immigration|The country has experienced high levels of {{c1::immigration}} in recent years|The country has experienced high levels of immigration in recent years|近年来，该国经历了高水平的移民|The action of coming to live permanently in a foreign country|永久居住在外国的行为|immigration|noun|migration, settlement, relocation, resettlement|emigration, departure, exodus
immigration|The government introduced new policies to control {{c1::immigration}}|The government introduced new policies to control immigration|政府引入了新政策来控制移民|The process or act of immigrating; the movement of non-native people into a country|移民的过程或行为；非本国人进入一个国家的流动|immigration|noun|influx, inflow, arrival, entry|outflow, outmigration
immigration|We had to go through {{c1::immigration}} at the airport|We had to go through immigration at the airport|我们必须在机场通过移民检查|The part of a government concerned with the monitoring and regulation of people entering a country|政府负责监控和管理进入国家的人员的部门|immigration|noun|border control, customs, passport control|
natural|The island is known for its {{c1::natural}} beauty|The island is known for its natural beauty|这个岛以其自然美景而闻名|Existing in or derived from nature; not made or caused by humankind|存在于自然界或源于自然界的；不是由人类制造或引起的|natural|adjective|organic, environmental, ecological, wild, unprocessed, pure|artificial, synthetic, man-made, manufactured, processed
natural|It's {{c1::natural}} to feel nervous before an important presentation|It's natural to feel nervous before an important presentation|在重要演讲前感到紧张是很自然的|In accordance with the nature of, or circumstances surrounding, someone or something|符合某人或某物的本性或周围环境的|natural|adjective|innate, inherent, inborn, instinctive, intuitive, normal, typical|unnatural, abnormal, unusual, extraordinary, acquired
natural|She's a {{c1::natural}} at public speaking|She's a natural at public speaking|她是公共演讲的天才|A person regarded as having an innate gift or talent for a particular task or activity|被认为对特定任务或活动有天生才能的人|natural|noun|prodigy, genius, talent, virtuoso, gifted person|
natural|Her {{c1::natural}} manner put everyone at ease|Her natural manner put everyone at ease|她自然的举止让每个人都感到轻松|Easy and unaffected; without artificiality or pretension|轻松自然的；没有做作或矫饰的|natural|adjective|unaffected, genuine, unforced, spontaneous, relaxed, authentic|affected, forced, artificial, contrived, stilted, fake
ambitious|She has always been {{c1::ambitious}} and determined to succeed in her career.|She has always been ambitious and determined to succeed in her career.|她一直很有雄心壮志，决心在事业上取得成功。|Having a strong desire for success, achievement, or distinction|有强烈的成功欲望，追求成就或卓越|ambitious|adjective|aspiring, driven, determined, enterprising, motivated|unambitious, unmotivated, lazy, apathetic
ambitious|The project was too {{c1::ambitious}} for our small team to complete on time.|The project was too ambitious for our small team to complete on time.|这个项目对我们的小团队来说太雄心勃勃了，无法按时完成。|Requiring exceptional effort, ability, or commitment|需要非凡的努力、能力或承诺|ambitious|adjective|challenging, demanding, difficult, bold, audacious|modest, undemanding, simple, easy
brief|We had a {{c1::brief}} meeting to discuss the project timeline.|We had a brief meeting to discuss the project timeline.|我们开了个简短的会议讨论项目时间表。|Of short duration; not lasting for long|短暂的；不持久的|brief|adjective|short, quick, fleeting, momentary, temporary|long, lengthy, extended, prolonged
brief|Please keep your explanation {{c1::brief}} and to the point.|Please keep your explanation brief and to the point.|请保持解释简短并切中要点。|Concise in expression; using few words|简洁的表达；用词简练|brief|adjective|concise, succinct, short, compact, terse|lengthy, verbose, detailed, elaborate
brief|The lawyer prepared a legal {{c1::brief}} for the upcoming case.|The lawyer prepared a legal brief for the upcoming case.|律师为即将到来的案件准备了法律简报。|A concise statement or summary|简明的陈述或摘要|brief|noun|summary, outline, synopsis, précis, abstract|elaboration, exposition, treatise
briefed|The manager {{c1::briefed}} the team on the new project requirements.|The manager briefed the team on the new project requirements.|经理向团队简要介绍了新项目的要求。|To give instructions or information to someone|向某人提供指示或信息|brief|verb|inform, instruct, update, advise, coach|confuse, mislead, misinform
dorm|She lived in the freshman {{c1::dorm}} during her first year of college.|She lived in the freshman dorm during her first year of college.|她大学一年级时住在新生宿舍。|A building at a college or university where students live; a dormitory|大学或学院中学生居住的建筑；宿舍|dorm|noun|dormitory, residence hall, student housing, hall of residence|
dorms|The summer camp had large {{c1::dorms}} with bunk beds for the children.|The summer camp had large dorms with bunk beds for the children.|夏令营有配备双层床的大型宿舍供孩子们使用。|A room providing sleeping quarters for a number of people|为多人提供睡眠区域的房间|dorm|noun|dormitory, sleeping quarters, barracks, bunkhouse|
substitute|The coach brought in a {{c1::substitute}} player in the second half.|The coach brought in a substitute player in the second half.|教练在下半场换上了一名替补球员。|A person or thing that takes the place or function of another|取代他人位置或功能的人或物|substitute|noun|replacement, stand-in, backup, surrogate, alternative|original, primary
substitute|You can {{c1::substitute}} olive oil for butter in this recipe.|You can substitute olive oil for butter in this recipe.|在这个食谱中，你可以用橄榄油代替黄油。|To put or use in place of another|放置或使用以代替另一个|substitute|verb|replace, exchange, swap, switch, interchange|keep, retain, maintain
substitute|The assistant manager will {{c1::substitute}} for the manager during her vacation.|The assistant manager will substitute for the manager during her vacation.|助理经理将在经理休假期间代替她工作。|To act or serve as a substitute|作为替代品行动或服务|substitute|verb|fill in, stand in, cover, deputize, take over|
striking|There is a {{c1::striking}} resemblance between the twins.|There is a striking resemblance between the twins.|这对双胞胎之间有着惊人的相似之处。|Attracting attention by reason of being unusual, extreme, or prominent|因不寻常、极端或突出而引人注目|striking|adjective|noticeable, remarkable, outstanding, dramatic, impressive|unremarkable, ordinary, plain, dull, subtle
striking|She has {{c1::striking}} blue eyes that everyone notices immediately.|She has striking blue eyes that everyone notices immediately.|她有一双引人注目的蓝眼睛，每个人都会立即注意到。|Uncommonly attractive; beautiful in an unusual or noticeable way|非同寻常地有吸引力；以不寻常或引人注目的方式美丽|striking|adjective|stunning, eye-catching, arresting, captivating, gorgeous|unattractive, plain, ordinary, unremarkable
striking|The {{c1::striking}} of the hammer against the nail echoed through the workshop.|The striking of the hammer against the nail echoed through the workshop.|锤子敲击钉子的声音在整个工作室回响。|The action of hitting forcibly and deliberately|用力且有意地击打的动作|striking|verb|hitting, smacking, knocking, tapping, pounding|
pirates|In the 17th century, {{c1::pirates}} roamed the Caribbean Sea attacking merchant ships.|In the 17th century, pirates roamed the Caribbean Sea attacking merchant ships.|在17世纪，海盗在加勒比海游荡，袭击商船。|A person who attacks and robs ships at sea|在海上攻击和抢劫船只的人|pirate|noun|buccaneer, corsair, privateer, freebooter, marauder|
pirates|Software {{c1::pirates}} cost the industry billions of dollars annually.|Software pirates cost the industry billions of dollars annually.|软件盗版者每年给行业造成数十亿美元的损失。|A person who reproduces or uses another's work without authorization|未经授权复制或使用他人作品的人|pirate|noun|copyright infringer, bootlegger, counterfeiter, plagiarist|
pirated|The company {{c1::pirated}} the software and distributed it to employees.|The company pirated the software and distributed it to employees.|该公司盗版了这款软件并分发给员工。|To reproduce or use (another's work) without authorization|未经授权复制或使用（他人的作品）|pirate|verb|steal, plagiarize, copy illegally, infringe, bootleg|license, authorize
refrigerator|She put the leftover food in the {{c1::refrigerator}} to keep it fresh.|She put the leftover food in the refrigerator to keep it fresh.|她把剩菜放进冰箱以保持新鲜。|An appliance or compartment that is artificially kept cool and used to store food and drink|一种人工保持低温并用于储存食物和饮料的电器或隔间|refrigerator|noun|fridge, cooler, icebox, cold storage|
refrigerator|The restaurant kitchen has a large walk-in {{c1::refrigerator}} for storing fresh ingredients.|The restaurant kitchen has a large walk-in refrigerator for storing fresh ingredients.|餐厅厨房有一个大型步入式冰箱，用于储存新鲜食材。|A device or system used for cooling or freezing, especially for preserving food|用于冷却或冷冻的装置或系统，尤其是用于保存食物|refrigerator|noun|cooling unit, chiller, cold storage unit|
minimise|The company is taking steps to {{c1::minimise}} its environmental impact.|The company is taking steps to minimise its environmental impact.|该公司正在采取措施以最小化其环境影响。|To reduce (something, especially something unwanted or unpleasant) to the smallest possible amount or degree|将（某事物，尤其是不需要或不愉快的事物）减少到最小可能的数量或程度|minimise|verb|reduce, decrease, lessen, diminish, lower|maximise, increase, enlarge, expand
minimise|He tends to {{c1::minimise}} his achievements and focus on his failures.|He tends to minimise his achievements and focus on his failures.|他倾向于淡化自己的成就，而专注于自己的失败。|To represent or estimate as smaller or less important than is the case|将事物表示或估计得比实际情况更小或更不重要|minimise|verb|downplay, understate, underestimate, trivialize, play down|exaggerate, overstate, emphasize, highlight
