#deck:Speak::Basic1::BeVerb1
#notetype:TypeAnswerAndListen

我在纽约。;I'm in New York.
你的新工作怎么样？;How's your new job?
你的新恋情怎么样？;How's your new relationship?
工作怎么样？;How's work?
过得怎么样？;How's life?
婚后过得怎么样？;How's married life?
你的家人怎么样？;How's your family?
在学校过得怎么样？;How's school?
美国的生活怎么样？;How's life in the U.S.?
洛杉矶的生活怎么样？;How's life in L.A.?
伦敦的生活怎么样？;How's life in London?
纽约的生活怎么样？;How's life in New York?
加拿大的生活怎么样？;How's life in Canada?
很高兴见到你。;Nice to meet you.
我在旧金山。;I'm in San Francisco.
我在伦敦。;I'm in London.
你/你们（是）;You are
他们/她们/它们（是）;They are
我们（是）;We are
我（是）;I'm
你/你们（是）;You're
他（是）;He's
它（是）;It's
他们/她们/它们（是）;They're
我们（是）;We're
她（是）;She's
他们很忙。;They're busy.
过得很好。;Life is good.
工作很好。;Work is good.
学校生活很好。;School is good.
学校生活很令人兴奋。;School is exciting.
工作很令人兴奋。;Work is exciting.
生活很令人兴奋。;Life is exciting.
我很喜欢。;I'm loving it.
艰难，困难;tough
无聊;boring
学校生活很无聊。;School is boring.
工作很无聊。;Work is boring.
婚后生活很艰难。;Married life is tough.
学校生活很苦。;School is tough.
工作压力很大。;Work is stressful.
我的家人很疯狂。;My family is crazy.
工作忙疯了。;Work is crazy.
学校生活压力很大。;School is stressful.
还是老样子。;Same old, same old.
还可以。;It's okay.
暴躁;grumpy
饿得冒火;hangry
无聊（状态）;bored
饿;hungry
忙;busy
你很高兴。;You're happy.
他很生气。;He's angry.
他很伤心。;He's sad.
你很忙。;You're busy.
我很饿。;I'm hungry.
她很生气。;She's angry.
我很伤心。;I'm sad.
紧张;nervous
他们很渴。;They're thirsty.
我们很累。;We're tired.
我们很饿。;We're hangry.
他们很暴躁。;They're grumpy.
我很累。;I'm tired.
你很紧张。;You're nervous.
我们很渴。;We're thirsty.
他很暴躁。;He's grumpy.
他们很紧张。;They're nervous.
她很累。;She's tired.
惊讶（状态）;surprised
我;I
你/你们;You
他;He
她;She
它;It
我们;We
他们/她们/它们;They
我（是）;I am
他（是）;He is
她（是）;She is
它（是）;It is
我准备好了！;I'm ready!
不用了。;I'm good.
我很好，谢谢。;I'm good, thanks.
他很可爱。;He's cute.
她很开心;She's happy.
它很有趣。;It's fun.
我们很聪明。;We're smart.
他们很伤心。;They're sad.
你准备好了。;You're ready.
你很累。;You're tired.
他们迟到了。;They're late.
温度很高/天气很热。;It's hot.
她很饿。;She's hungry.
温度很低/天气很冷。;It's cold.
他迟到了。;He's late.
我很忙。;I'm busy.
你的新住所怎么样？;How's your new place?
你的新学校怎么样？;How's your new school?
你准备好了吗？;Are you ready?
是的，我准备好了！;Yes, I am!
我饿了吗？;Am I hungry?
你饿了吗？;Are you hungry?
你渴了吗？;Are you thirsty?
你忙吗？;Are you busy?
你是美国人吗？;Are you American?
不，我不是。;No, I'm not.
你饿得冒火了吗？;Are you hangry?
你开心吗？;Are you happy?
我饿吗？;Am I hungry?
天冷吗？;Is it cold?
我困吗？;Am I sleepy?
她开心吗？;Is she happy?
他冷吗？;Is he cold?
天热吗？;Is it hot?
我开心吗？;Am I happy?
她困吗？;Is she sleepy?
你渴吗？;Are you thirsty?
他们饿得冒火吗？;Are they hangry?
我们富有吗？;Are we rich?
葡萄牙人;Portuguese
我们是越南人。;We're Vietnamese.
美国人;American
加拿大人;Canadian
墨西哥人;Mexican
意大利人;Italian
我是澳大利亚人。;I'm Australian.
我是韩国人。;I'm Korean.
他是印度人。;He's Indian.
他们是澳大利亚人。;They're Australian.
她是意大利人。;She's Italian.
我是加拿大人。;I'm Canadian.
他是一名厨师。;He's a chef.
你是一名网红。;You're an influencer.
一名作家;a writer
一名学生;a student
我是一名老师。;I'm a teacher.
她是一名老师。;She's a teacher.
她是一名学生。;She's a student.
我是一名厨师。;I'm a chef.
她是一名咖啡师。;She's a barista.
我是一名作家。;I'm a writer.
一名运动员;an athlete
他是一名运动员。;He's an athlete.
他们是学生。;They're students.
他们是老师。;They're teachers.
我们是歌手。;We're singers.
我们是设计师。;We're designers.
他们是咖啡师。;They're baristas.
他们是网红。;They're influencers.
他是一名网红。;He's an influencer.
我是一名设计师。;I'm a designer.
对，你是一名老师。;Yeah, you're a teacher.
他们是运动员。;They're athletes.
对，她是一名工程师。;Yep, she's an engineer.
他们是歌手。;They're singers.
越南人;Vietnamese
日本人;Japanese
你是中国人。;You're Chinese.
你是越南人。;You're Vietnamese.
我们是日本人。;We're Japanese.
他们是中国人。;They're Chinese.
他们是葡萄牙人。;They're Portuguese.
法国人;French
英国人;British
他们是西班牙人。;They're Spanish.
他是德国人。;He's German.
兴奋（状态）;excited
你很兴奋。;You're excited.
他们很无聊。;They're bored.
她很兴奋。;She's excited.
我很惊讶。;I'm surprised.
我们很兴奋。;We're excited.
我很无聊。;I'm bored.
你很暴躁。;You're grumpy.
我们很高兴。;We're happy.
我很紧张。;I'm nervous.
他饿得冒火。;He's hangry.
他们很惊讶。;They're surprised.
他是英国人。;He's British.
我是德国人。;I'm German.
我们是西班牙人。;We're Spanish.
她是法国人。;She's French.
我们是德国人。;We're German.
他是葡萄牙人。;He's Portuguese.
你是西班牙人。;You're Spanish.
我是美国人。;I'm American.
她是加拿大人。;She's Canadian.
我们累吗？;Are we tired?
他们富有吗？;Are they rich?
你饿得冒火吗？;Are you hangry?
他们忙吗？;Are they busy?
是的，我是。;Yes, I am.
是的，她是。;Yes, she is.
是的，他们是。;Yes, they are.
是的，你是。;Yes, you are.
不，它不是。;No, it's not.
不，我们不是。;No, we're not.
不，他们不是。;No, they're not.
不，你不是。;No, you're not.
是的，我们是。;Yes, we are.
不，他不是。;No, he's not.
是的，天冷。;Yes, it is.
你累吗？;Are you tired?
他很兴奋。;He's excited.
她饿得冒火。;She's hangry.
她是一名医生。;She's a doctor.
我是一名工程师。;I'm an engineer.
他们是医生。;They're doctors.
她是一名医生吗？;Is she a doctor?
是的，她是医生。;Yes, she is.
不，她不是医生。;No, she's not.
他是一名老师吗？;Is he a teacher?
是的，他是。;Yes, he is.
他们是演员吗？;Are they actors?
你们饿了吗？;Are you hungry?
不，我们不饿。;No, we're not.
我是一名咖啡师。;I'm a barista.
她是网红。;She's an influencer.
有雾。;It's foggy.
